OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d33f8e2950a4444daa8722e2a9949966,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
d3aee79b5f2d22dcb5c158657d7e3b2c,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_marine
d42477396c535ec1949bd0430361ebdc,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
a05509264ea936ad57be25bce79c295d,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
1e4e8aaf01299475a0fd6dc43b63c39f,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
6ea71eabd1d243bb12422301887f6e40,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
965734367ba307aaa070ab47dc93b334,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_marine
0c03b5f27832248d89bf675062a0550e,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
0e2a1a6e8f9e6f7e8b3aeb8b7b8d1a18,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
7fd905bb7ddca44e86283789720cc065,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_Geobacter
b24759d37ec894d8f94113fd065476d2,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
e8f845ebdff1b8f624243fc4c4c98b49,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
e9c7f3f759fbc906f6e14b9ec52c258d,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_marine
ea7784ef5751975f3c1a5ebfb0d81ffe,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
0242c52e423dd679f0305397447717b6,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
14b5543a7ba2ad9356428038f8e5276d,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
166d393ace1d384882a7fac4d8938c07,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
2dfe46e0f25c462c4015e68ab97564fd,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_organism
31fbde4d4b099a2459b147be95ce0966,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
358e9682c6def1ef02fce1c5ff0cc5b2,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_marine
372fbdd75862ef491bd17cd204b8a97d,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
3f8bb2586f9380da1ca636a8b77e30c0,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
7e5e2a4df297332c989fc8405498fc38,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_marine
8768930ce27d21abdbdc9c5a5bc78338,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
88b67ebba4bb7f5f8aec73e0a3cff0e8,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
8931b517fe3afb3c6da503dc34bb775f,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,
8adba4d6ff6cd4136b8bb68984da7e0d,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_bacterium
9f69d4a8155d36293244d572054a9891,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__0319-6G20,g__0319-6G20,s__uncultured_marine
