cruise,station,season,bottom_depth_m,peak_rank,dcm_peak_depth_m,peak_fluorescence,prominence
HaiSec_42,H05,Summer,1465.0,1,104.0,0.4226618974647799,0.2225567119675273
HaiSec_42,H05_shallow,Summer,1465.0,1,106.0,0.4321994919128818,0.24350344917353098
HaiSec_42,H06,Summer,1748.0,1,112.0,0.35001090780792193,0.16183720083012915
HaiSec_43,H02,Winter,370.0,1,23.0,0.7459734309005108,0.20601704735876136
HaiSec_43,H03,Winter,570.0,1,37.0,0.7376601261441113,0.48460846504440885
HaiSec_43,H04,Winter,1100.0,1,70.0,0.26940383801773493,0.0539278321506545
HaiSec_43,H04,Winter,1100.0,2,143.0,0.17681679285371305,0.019091310939110012
HaiSec_43,H05,Winter,1400.0,1,77.0,0.26211452093283755,0.05161071321671651
HaiSec_43,H06,Winter,1750.0,1,52.0,0.30075295635646265,0.05340117182996201
HaiSec_44,G05,Summer,1900.0,1,97.0,0.3965326779645776,0.2655013578636505
HaiSec_44,H03,Summer,700.0,1,111.0,0.4117081232435047,0.282376597496535
HaiSec_44,H04,Summer,1150.0,1,126.0,0.26788665643626364,0.1194248027091403
HaiSec_44,H05,Summer,1450.0,1,123.0,0.3424733057431907,0.1564952434824313
HaiSec_44,H06,Summer,1750.0,1,110.0,0.29592910265107447,0.16267452818816883
HaiSec_45,G05,Winter,1908.0,1,66.0,0.21402632780813002,0.0402663211417483
HaiSec_45,G05,Winter,1908.0,2,128.0,0.14596763446111682,0.027525391291602697
HaiSec_45,H03,Winter,500.0,1,70.0,0.28899858411780566,0.16585976206613656
HaiSec_45,H04,Winter,1121.0,1,66.0,0.22481952886452775,0.07621298940232635
HaiSec_45,H05,Winter,1451.0,1,92.0,0.207547765378294,0.07146592947807454
HaiSec_45,H06,Winter,1724.0,1,90.0,0.3232025264431305,0.18667526424236588
HaiSec_46,H03,Summer,560.0,1,52.0,0.18679198153719795,0.14453216334160862
HaiSec_46,H04,Summer,1100.0,1,54.0,0.1266873796265928,0.07792626213770203
HaiSec_46,H05,Summer,1460.0,1,130.0,0.1376017346776769,0.07299429831672903
HaiSec_46,H06,Summer,1700.0,1,129.0,0.12843700681885492,0.07328553222848394
HaiSec_48,H03,Summer,600.0,1,132.0,0.15575183698265319,0.06536742349748328
HaiSec_48,H04,Summer,1100.0,1,127.0,0.16289804879951514,0.07489077701629479
HaiSec_48,H05,Summer,1500.0,1,129.0,0.044109595493556614,0.044090196165088774
HaiSec_48,H06,Summer,1700.0,1,131.0,0.06764955684062732,0.066410425438495
HaiSec_48,H06_full,Summer,1700.0,1,123.0,0.06653150325494675,0.057756474472834815
HaiSec_49,H0,Winter,574.0,1,81.0,0.008177159342304265,0.004489163701063402
HaiSec_49,H04,Winter,1086.0,1,79.0,0.010523755360501225,0.008062904217284478
HaiSec_49,H05,Winter,1500.0,1,60.0,0.009609824928287897,0.005828554578176097
HaiSec_49,H06,Winter,1700.0,1,42.0,0.008179472430947674,0.004097077225583468
HaiSec_49,H06,Winter,1700.0,2,101.0,0.00811021458675072,0.0029927899220882244
HaiSec_50,G05,Summer,1900.0,1,120.0,0.1107991797291116,0.05372651667080521
HaiSec_50,H02,Summer,350.0,1,43.0,0.1283433903608613,0.06593878468915097
HaiSec_50,H03,Summer,700.0,1,48.0,0.0653464143719021,0.040377498278921876
HaiSec_50,H04,Summer,1100.0,1,142.0,0.07096967327864981,0.015726021951103175
HaiSec_50,H05,Summer,1500.0,1,120.0,0.10225671276374565,0.06950831084508441
HaiSec_50,H06,Summer,1700.0,1,114.0,0.08728792904399754,0.05235795044709145
HaiSec_50,NACy3,Summer,1200.0,1,109.0,0.008649603225347139,0.0043339059645476335
HaiSec_50,NACy3,Summer,1200.0,2,61.0,0.007756731862363912,0.0023745444491887107
HaiSec_51,H03,Winter,590.0,1,104.0,0.06033674018953894,0.007768600944403972
HaiSec_51,H04,Winter,1125.0,1,122.0,0.0831191060817781,0.03707527192308699
HaiSec_51,H05,Winter,1450.0,1,78.0,0.08330058854383855,0.04064853718977618
HaiSec_51,H06,Winter,1660.0,1,151.0,0.09674684466498232,0.036811856163802496
HaiSec_51,H06,Winter,1660.0,2,109.0,0.0800434559937496,0.023910971476568607
HaiSec_52,H02,Summer,313.0,1,84.0,0.1126675105859704,0.05713315545687149
HaiSec_52,H03,Summer,734.0,1,111.0,0.08309113881086266,0.01697122230992526
HaiSec_52,H03,Summer,734.0,2,157.0,0.07412281522505658,0.00791158905276683
HaiSec_52,H04,Summer,1109.0,1,131.0,0.10055642053129168,0.03324543556086526
HaiSec_52,H05,Summer,1453.0,1,139.0,0.08785753767939962,0.03171733114436656
HaiSec_52,H06,Summer,1700.0,1,118.0,0.09589099780413057,0.04704103172668139
HaiSec_53,H03,Winter,600.0,1,89.0,0.14965843366195658,0.10035061235526224
HaiSec_53,H04,Winter,1100.0,1,93.0,0.22341978994308964,0.1575365687413408
HaiSec_53,H05,Winter,1500.0,1,89.0,0.14099486733398345,0.07237500377732917
HaiSec_53,H06,Winter,1750.0,1,103.0,0.10875903026501535,0.0319971837562161
HaiSec_54,H02,Summer,320.0,1,94.0,0.10999534579380293,0.05074205394652913
HaiSec_54,H03,Summer,620.0,1,114.0,0.1198882519033912,0.06178955064373362
HaiSec_54,H04,Summer,1100.0,1,115.0,0.13831645812112303,0.07434138560930692
HaiSec_54,H05,Summer,1450.0,1,122.0,0.15782994965880193,0.09880005904977526
HaiSec_54,H06,Summer,1700.0,1,109.0,0.13399470918121675,0.08406252837732076
